Conshy BLE Database

BLE APB Information
-------------------
AP Name            AP Group     BLE MAC            BLE Cur. Bank   BLE Opp. Bank  AP Eth MAC         AP IP             Reported at           ConfigID  Status     
d0:d3:e0:c1:f9:c4  ABC-OFFICES  20:4c:03:b4:cf:45  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:c4  10.11.3.61:8514   2021-08-04 08:27:47   1         Current    
d0:d3:e0:c1:f8:9c  default      20:4c:03:b4:ce:90  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:9c  10.11.3.52:8514   2021-07-12 12:47:56   0         OutOfDate  
WCHQ-AP-9E7        ABC-OFFICES  20:4c:03:b4:cd:96  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fa:a4  10.11.3.215:8514  2021-04-28 11:16:36   0         OutOfDate  
d0:d3:e0:c1:f9:54  ABC-OFFICES  20:4c:03:b4:cd:14  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:54  10.11.2.159:8514  2021-08-04 08:28:07   1         Current    
d0:d3:e0:c1:fb:bc  ABC-OFFICES  20:4c:03:b4:cf:23  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:bc  10.11.3.55:8514   2021-08-04 08:27:43   1         Current    
d0:d3:e0:c1:f8:34  ABC-OFFICES  20:4c:03:b4:cd:74  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:34  10.11.3.72:8514   2021-05-25 07:20:00   0         OutOfDate  
d0:d3:e0:c1:ff:14  ABC-OFFICES  20:4c:03:b4:ce:35  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:14  10.11.3.202:8514  2021-08-04 08:27:27   1         Current    
d0:d3:e0:c1:fd:7c  ABC-OFFICES  20:4c:03:b4:cf:bd  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:7c  10.11.3.48:8514   2021-08-04 08:27:21   1         Current    
d0:d3:e0:c1:fd:64  ABC-OFFICES  20:4c:03:b4:d0:82  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:64  10.11.3.229:8514  2021-08-04 08:27:53   1         Current    
d0:d3:e0:c1:fe:a4  ABC-OFFICES  20:4c:03:b4:ce:b5  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:a4  10.11.3.196:8514  2021-08-04 08:27:36   1         Current    
d0:d3:e0:c1:fc:9c  ABC-OFFICES  20:4c:03:b4:d0:c0  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:9c  10.11.3.235:8514  2021-08-04 08:28:11   1         Current    
d0:d3:e0:c1:fd:1c  ABC-OFFICES  20:4c:03:b4:d0:68  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:1c  10.11.2.169:8514  2021-06-08 17:33:59   0         OutOfDate  
d0:d3:e0:c1:fc:14  ABC-OFFICES  20:4c:03:b4:cc:fe  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:14  10.11.2.154:8514  2021-04-12 08:35:43   0         OutOfDate  
d0:d3:e0:c1:fd:6c  ABC-OFFICES  20:4c:03:b4:cd:06  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:6c  10.11.2.156:8514  2021-08-04 08:27:49   1         Current    
d0:d3:e0:c1:fd:fc  ABC-OFFICES  20:4c:03:b4:cf:84  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:fc  10.11.3.195:8514  2021-08-04 08:26:50   1         Current    
WCHQ-AP-6W10       ABC-OFFICES  20:4c:03:b4:cf:64  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:24  10.11.2.152:8514  2021-08-04 08:28:05   1         Current    
WCHQ-AP-9E2        ABC-OFFICES  20:4c:03:b4:cd:fd  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:cc  10.11.2.161:8514  2021-06-08 17:40:33   0         OutOfDate  
d0:d3:e0:c1:fd:ac  ABC-OFFICES  20:4c:03:b4:d0:13  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:ac  10.11.3.212:8514  2021-08-04 08:27:37   1         Current    
d0:d3:e0:c1:fe:d4  ABC-OFFICES  20:4c:03:b4:d0:51  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:d4  10.11.2.146:8514  2021-08-04 08:27:40   1         Current    
WCHQ-AP-9E9        ABC-OFFICES  20:4c:03:b4:d2:5a  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:06:ea  10.11.2.163:8514  2021-08-04 08:27:57   1         Current    
d0:d3:e0:c2:00:92  default      20:4c:03:b4:cc:2e  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:92  10.11.3.193:8514  2021-07-06 09:48:41   0         OutOfDate  
WCHQ-AP-6W2        ABC-OFFICES  20:4c:03:b4:cd:39  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:01:52  10.11.3.252:8514  2021-08-04 08:27:42   1         Current    
d0:d3:e0:c2:01:4a  ABC-OFFICES  20:4c:03:b4:cc:47  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:01:4a  10.11.2.150:8514  2021-06-08 17:08:12   0         OutOfDate  
WCHQ-AP-8E9        ABC-OFFICES  20:4c:03:b4:cd:0f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:01:62  10.11.2.173:8514  2021-08-04 08:28:28   1         Current    
d0:d3:e0:c2:01:2a  ABC-OFFICES  20:4c:03:b4:cd:c3  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:01:2a  10.11.2.171:8514  2021-08-04 08:27:40   1         Current    
WCHQ-AP-6E8        ABC-OFFICES  20:4c:03:b4:d1:6e  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:02:ea  10.11.3.250:8514  2021-08-04 08:27:53   1         Current    
d0:d3:e0:c1:f7:ba  ABC-OFFICES  20:4c:03:b4:cc:56  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f7:ba  10.11.3.207:8514  2021-08-04 08:28:03   1         Current    
d0:d3:e0:c1:f7:d2  ABC-OFFICES  20:4c:03:b4:cd:7d  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f7:d2  10.11.2.189:8514  2021-05-21 11:48:27   0         OutOfDate  
d0:d3:e0:c1:f9:92  ABC-OFFICES  20:4c:03:b4:cb:e5  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:92  10.11.3.181:8514  2021-08-04 08:27:50   1         Current    
WCHQ-AP-8W10       ABC-OFFICES  20:4c:03:b4:cc:23  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:ca  10.11.2.177:8514  2021-08-04 08:28:19   1         Current    
d0:d3:e0:c1:fb:2a  default      20:4c:03:b4:cf:4b  DFU BL 1.3-44   DFU APP 0.0-0  d0:d3:e0:c1:fb:2a  10.11.3.63:8514   2021-07-12 07:28:54   0         OutOfDate  
WCHQ-M-AP2         ABC-OFFICES  20:4c:03:b4:ce:9d  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:7a  10.11.3.75:8514   2021-08-04 08:28:26   1         Current    
d0:d3:e0:c1:f9:fa  ABC-OFFICES  20:4c:03:b4:cd:b4  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:fa  10.11.3.228:8514  2021-08-04 08:27:35   1         Current    
WCHQ-AP-9E3        ABC-OFFICES  20:4c:03:b4:cf:d3  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:8a  10.11.2.166:8514  2021-08-04 08:28:29   1         Current    
d0:d3:e0:c1:f9:0a  ABC-OFFICES  20:4c:03:b4:cf:4e  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:0a  10.11.3.237:8514  2021-06-08 17:07:34   0         OutOfDate  
d0:d3:e0:c1:f8:2a  ABC-OFFICES  20:4c:03:b4:cf:aa  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:2a  10.11.3.248:8514  2021-04-12 08:35:16   0         OutOfDate  
d0:d3:e0:c1:fc:d2  ABC-OFFICES  20:4c:03:b4:ce:a3  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:d2  10.11.3.57:8514   2021-08-04 08:27:58   1         Current    
d0:d3:e0:c1:ff:d2  default      20:4c:03:b4:cc:3c  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:d2  10.11.3.54:8514   2021-07-12 12:48:05   0         OutOfDate  
d0:d3:e0:c1:fc:ca  ABC-OFFICES  20:4c:03:b4:cf:26  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:ca  10.11.3.230:8514  2021-08-04 08:28:04   1         Current    
